Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,M6-4
A,8,MCP,P4-8
A,9,MCP,H6-8
A,10,MCP,B4-14
A,11,MCP,D5-6
A,12,MCP,K6-28
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,M6-4
B,8,MCP,P4-8
B,9,MCP,H6-8
B,10,MCP,B4-14
B,11,MCP,D5-6
B,12,MCP,K6-28
C,1,MCP,I2-6
C,2,MCP,I7-26
C,3,MCP,C3-28
C,4,MCP,I4-10
C,5,MCP,D7-2
C,6,MCP,I5-15
C,7,MCP,J5-18
C,8,MCP,M6-5
C,9,MCP,N6-3
C,10,MCP,J3-12
C,11,MCP,N2-8
C,12,MCP,E5-5
D,1,MCP,I2-6
D,2,MCP,I7-26
D,3,MCP,C3-28
D,4,MCP,I4-10
D,5,MCP,D7-2
D,6,MCP,I5-15
D,7,MCP,J5-18
D,8,MCP,M6-5
D,9,MCP,N6-3
D,10,MCP,J3-12
D,11,MCP,N2-8
D,12,MCP,E5-5
E,1,MCP,R6-6
E,2,MCP,B4-16
E,3,MCP,I7-14
E,4,MCP,G2-10
E,5,MCP,D4-12
E,6,MCP,B6-14
E,7,MCP,O7-5
E,8,MCP,K4-15
E,9,MCP,N2-5
E,10,MCP,Q7-5
E,11,MCP,O5-1
E,12,MCP,Q5-13
F,1,MCP,R6-6
F,2,MCP,B4-16
F,3,MCP,I7-14
F,4,MCP,G2-10
F,5,MCP,D4-12
F,6,MCP,B6-14
F,7,MCP,O7-5
F,8,MCP,K4-15
F,9,MCP,N2-5
F,10,MCP,Q7-5
F,11,MCP,O5-1
F,12,MCP,Q5-13
G,1,MCP,K3-9
G,2,MCP,M3-1
G,3,MCP,G4-10
G,4,MCP,B3-3
G,5,MCP,G5-7
G,6,MCP,J6-8
G,7,MCP,J1-8
G,8,MCP,D7-1
G,9,MCP,I2-12
G,10,MCP,D5-11
G,11,MCP,J3-2
G,12,MCP,C3-6
H,1,MCP,K3-9
H,2,MCP,M3-1
H,3,MCP,G4-10
H,4,MCP,B3-3
H,5,MCP,G5-7
H,6,MCP,J6-8
H,7,MCP,J1-8
H,8,MCP,D7-1
H,9,MCP,I2-12
H,10,MCP,D5-11
H,11,MCP,J3-2
H,12,MCP,C3-6
