Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,Q6-11
A,8,MCP,N7-3
A,9,MCP,H3-5
A,10,MCP,F4-4
A,11,MCP,Q5-10
A,12,MCP,M6-7
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,Q6-11
B,8,MCP,N7-3
B,9,MCP,H3-5
B,10,MCP,F4-4
B,11,MCP,Q5-10
B,12,MCP,M6-7
C,1,MCP,I7-5
C,2,MCP,B4-5
C,3,MCP,F5-4
C,4,MCP,D3-11
C,5,MCP,C6-1
C,6,MCP,C4-27
C,7,MCP,M7-5
C,8,MCP,K7-3
C,9,MCP,N7-25
C,10,MCP,D6-7
C,11,MCP,P6-5
C,12,MCP,K7-22
D,1,MCP,I7-5
D,2,MCP,B4-5
D,3,MCP,F5-4
D,4,MCP,D3-11
D,5,MCP,C6-1
D,6,MCP,C4-27
D,7,MCP,M7-5
D,8,MCP,K7-3
D,9,MCP,N7-25
D,10,MCP,D6-7
D,11,MCP,P6-5
D,12,MCP,K7-22
E,1,MCP,Q3-12
E,2,MCP,C4-9
E,3,MCP,K6-37
E,4,MCP,Q5-16
E,5,MCP,I7-24
E,6,MCP,M5-20
E,7,MCP,F6-24
E,8,MCP,J5-17
E,9,MCP,F1-7
E,10,MCP,I6-15
E,11,MCP,H2-7
E,12,MCP,C2-29
F,1,MCP,Q3-12
F,2,MCP,C4-9
F,3,MCP,K6-37
F,4,MCP,Q5-16
F,5,MCP,I7-24
F,6,MCP,M5-20
F,7,MCP,F6-24
F,8,MCP,J5-17
F,9,MCP,F1-7
F,10,MCP,I6-15
F,11,MCP,H2-7
F,12,MCP,C2-29
G,1,MCP,Q3-14
G,2,MCP,J5-3
G,3,MCP,L2-7
G,4,MCP,H3-3
G,5,MCP,K4-14
G,6,MCP,N3-5
G,7,MCP,K6-18
G,8,MCP,G7-1
G,9,MCP,F4-9
G,10,MCP,B3-6
G,11,MCP,B3-2
G,12,MCP,B5-13
H,1,MCP,Q3-14
H,2,MCP,J5-3
H,3,MCP,L2-7
H,4,MCP,H3-3
H,5,MCP,K4-14
H,6,MCP,N3-5
H,7,MCP,K6-18
H,8,MCP,G7-1
H,9,MCP,F4-9
H,10,MCP,B3-6
H,11,MCP,B3-2
H,12,MCP,B5-13
