Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,E7-24
A,8,MCP,G5-9
A,9,MCP,C2-16
A,10,MCP,J6-2
A,11,MCP,K4-9
A,12,MCP,A1-3
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,E7-24
B,8,MCP,G5-9
B,9,MCP,C2-16
B,10,MCP,J6-2
B,11,MCP,K4-9
B,12,MCP,A1-3
C,1,MCP,Q6-29
C,2,MCP,B3-7
C,3,MCP,E5-10
C,4,MCP,A5-10
C,5,MCP,G3-5
C,6,MCP,I2-11
C,7,MCP,H2-13
C,8,MCP,H6-2
C,9,MCP,K5-1
C,10,MCP,Q6-13
C,11,MCP,I6-30
C,12,MCP,O2-5
D,1,MCP,Q6-29
D,2,MCP,B3-7
D,3,MCP,E5-10
D,4,MCP,A5-10
D,5,MCP,G3-5
D,6,MCP,I2-11
D,7,MCP,H2-13
D,8,MCP,H6-2
D,9,MCP,K5-1
D,10,MCP,Q6-13
D,11,MCP,I6-30
D,12,MCP,O2-5
E,1,MCP,I4-15
E,2,MCP,F6-18
E,3,MCP,O5-4
E,4,MCP,F1-2
E,5,MCP,M4-7
E,6,MCP,E4-19
E,7,MCP,A3-4
E,8,MCP,F7-20
E,9,MCP,G4-4
E,10,MCP,Q7-15
E,11,MCP,F7-2
E,12,MCP,K6-9
F,1,MCP,I4-15
F,2,MCP,F6-18
F,3,MCP,O5-4
F,4,MCP,F1-2
F,5,MCP,M4-7
F,6,MCP,E4-19
F,7,MCP,A3-4
F,8,MCP,F7-20
F,9,MCP,G4-4
F,10,MCP,Q7-15
F,11,MCP,F7-2
F,12,MCP,K6-9
G,1,MCP,O4-5
G,2,MCP,G4-2
G,3,MCP,D6-11
G,4,MCP,O7-3
G,5,MCP,I7-19
G,6,MCP,A2-9
G,7,MCP,B5-5
G,8,MCP,F7-15
G,9,MCP,J3-13
G,10,MCP,O2-14
G,11,MCP,B6-6
G,12,MCP,I6-28
H,1,MCP,O4-5
H,2,MCP,G4-2
H,3,MCP,D6-11
H,4,MCP,O7-3
H,5,MCP,I7-19
H,6,MCP,A2-9
H,7,MCP,B5-5
H,8,MCP,F7-15
H,9,MCP,J3-13
H,10,MCP,O2-14
H,11,MCP,B6-6
H,12,MCP,I6-28
