Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,Q6-1
A,8,MCP,M4-11
A,9,MCP,Q7-21
A,10,MCP,R7-5
A,11,MCP,G2-6
A,12,MCP,C5-23
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,Q6-1
B,8,MCP,M4-11
B,9,MCP,Q7-21
B,10,MCP,R7-5
B,11,MCP,G2-6
B,12,MCP,C5-23
C,1,MCP,E7-23
C,2,MCP,E5-1
C,3,MCP,N7-24
C,4,MCP,I5-26
C,5,MCP,C3-8
C,6,MCP,I7-1
C,7,MCP,J6-5
C,8,MCP,R5-8
C,9,MCP,P6-3
C,10,MCP,I7-2
C,11,MCP,Q4-25
C,12,MCP,H1-2
D,1,MCP,E7-23
D,2,MCP,E5-1
D,3,MCP,N7-24
D,4,MCP,I5-26
D,5,MCP,C3-8
D,6,MCP,I7-1
D,7,MCP,J6-5
D,8,MCP,R5-8
D,9,MCP,P6-3
D,10,MCP,I7-2
D,11,MCP,Q4-25
D,12,MCP,H1-2
E,1,MCP,O6-6
E,2,MCP,K6-11
E,3,MCP,I7-30
E,4,MCP,C3-7
E,5,MCP,C7-17
E,6,MCP,J1-10
E,7,MCP,E5-3
E,8,MCP,A3-7
E,9,MCP,I6-22
E,10,MCP,K6-14
E,11,MCP,I6-24
E,12,MCP,I4-2
F,1,MCP,O6-6
F,2,MCP,K6-11
F,3,MCP,I7-30
F,4,MCP,C3-7
F,5,MCP,C7-17
F,6,MCP,J1-10
F,7,MCP,E5-3
F,8,MCP,A3-7
F,9,MCP,I6-22
F,10,MCP,K6-14
F,11,MCP,I6-24
F,12,MCP,I4-2
G,1,MCP,I4-8
G,2,MCP,C2-3
G,3,MCP,B5-27
G,4,MCP,I6-29
G,5,MCP,E2-13
G,6,MCP,D6-14
G,7,MCP,E7-1
G,8,MCP,C5-30
G,9,MCP,L1-9
G,10,MCP,Q7-2
G,11,MCP,M5-2
G,12,MCP,I3-7
H,1,MCP,I4-8
H,2,MCP,C2-3
H,3,MCP,B5-27
H,4,MCP,I6-29
H,5,MCP,E2-13
H,6,MCP,D6-14
H,7,MCP,E7-1
H,8,MCP,C5-30
H,9,MCP,L1-9
H,10,MCP,Q7-2
H,11,MCP,M5-2
H,12,MCP,I3-7
